ds,yhat,yhat_lower,yhat_upper
2024-03-12,254.99380244130813,239.83055131439028,270.41975876811233
2024-03-13,255.02215186282774,239.30467868224656,271.2453156146325
2024-03-14,254.47473370859166,239.03559704857855,270.18176042567694
2024-03-15,254.36320673701618,238.75630365307444,269.97409011544664
2024-03-16,252.64654776879263,235.43308731783887,269.5991624282126
2024-03-17,248.8170876129711,233.1173153333698,264.0785852649544
2024-03-18,251.50935111733506,234.83976595924022,267.5127840819411
2024-03-19,252.53486725086836,235.62525909022108,268.1007158616423
2024-03-20,252.4034876135288,235.63112040101097,268.65895506036196
2024-03-21,251.7228350390814,235.08530125797142,268.11414828319556
2024-03-22,251.50706290155165,236.10992606792212,266.5262017917188
2024-03-23,249.71412903490116,233.20793125289586,265.0701171144116
2024-03-24,245.8358747343003,230.08095361914943,261.6207680254102
2024-03-25,248.5136203624647,232.24884313948507,265.5676040128759
2024-03-26,249.54988170085414,233.36130531059453,266.5815676128655
2024-03-27,249.4524406547441,233.87947576163296,266.17721522168205
2024-03-28,248.82620402972123,232.3126829040593,264.65577375789945
2024-03-29,248.6823265457481,231.81001752005943,265.0771450272306
2024-03-30,246.97251616311803,231.44836740422926,261.5114427269929
2024-03-31,243.18332542938813,226.92755488411527,259.12462710996135
2024-04-01,245.95866091090338,229.29450009614803,260.98360619511124
2024-04-02,247.08854806384676,230.66368733928533,262.82457100982447
2024-04-03,247.0760757949932,231.5651405147947,262.82278318369043
2024-04-04,246.5217624958893,229.92070218462305,263.0723684165755
2024-04-05,246.43311199847022,229.8648650164557,262.36556718724444
2024-04-06,244.75598923333055,228.54618221530058,261.0202439840458
2024-04-07,240.97313098061838,225.08655994880598,257.05664401920984
2024-04-08,243.7335437077971,227.2396414372892,259.4582158605309
2024-04-09,244.8182594328295,227.8493735445099,260.2960767859912
2024-04-10,244.7300658462034,228.12411269400465,261.48515721674045
2024-04-11,244.07026282588373,228.15518784450458,260.58541744926293
2024-04-12,243.84850923951004,226.4154066061223,259.7047582578022
2024-04-13,242.01110548048064,225.50020600327233,258.4198114471126
2024-04-14,238.04354344774342,221.70773421584715,253.90493343770282
2024-04-15,240.60660108199605,223.86723906300045,257.4100619498483
2024-04-16,241.4788915659712,224.33209764770046,257.9329273697008
2024-04-17,241.16918122561538,223.64647239150645,257.4410305689191
2024-04-18,240.28534449991042,223.0699915937319,257.0085244062148
2024-04-19,239.84432109212082,222.73444279409964,255.01579786614644
2024-04-20,237.7971419024683,222.32979012081734,254.09561338736117
2024-04-21,233.6353768110803,217.3699505307701,249.99357684648936
2024-04-22,236.03381097904924,219.15949405288896,253.59327069806918
2024-04-23,236.769702642244,220.5504413673382,252.97573626868368
2024-04-24,236.3576370818148,219.8082776470834,253.15720935891466
2024-04-25,235.41066327076862,218.48101363664878,252.05715807513215
2024-04-26,234.95038041677145,218.5454358633679,251.79982533486992
2024-04-27,232.92876199930916,216.76919666314913,248.4231113344398
2024-04-28,228.83859052623947,212.65540477496612,246.03524487649813
2024-04-29,231.36283700833275,214.04310480474462,247.88607086447223
2024-04-30,232.2707778055372,215.64798455428954,248.84026707781544
2024-05-01,232.07556010922275,214.1850260191479,248.48849187651865
2024-05-02,231.38771585948942,214.65963681433695,248.86157352122024
2024-05-03,231.2255879614528,215.3925275955696,247.8047513835958
2024-05-04,229.53417145857736,212.94316885900767,248.36983953246173
2024-05-05,225.79975679912943,209.38351826428325,241.89474628703758
2024-05-06,228.70623015545527,212.23063420986963,246.16582130698117
2024-05-07,230.00825681722532,213.0446007317672,246.03221179472158
2024-05-08,230.2117494360883,213.58702314700264,246.60371774974115
2024-05-09,229.9199285745308,212.1263146951635,247.06879074829976
2024-05-10,230.144231011269,213.38605746697104,246.70334782794606
2024-05-11,228.82027920554253,211.49755281957923,244.81931410076925
2024-05-12,225.426809524358,208.70257034225074,241.529632448185
2024-05-13,228.64893268736552,211.90703286910997,245.97012003735378
